comments,key_word_qc,quality_check,key_word_detritus,debris
NA,NA,NA,,NA
DELETE THIS TAXON FROM THIS SAMPLE,delete,BadData,,NA
single cell,NA,NA,,NA
DELETE THIS TAXA FROM THE DATA SET,delete,BadData,,NA
% analyzed = 7.26923%,NA,NA,,NA
"Heavy detritus, more than normal. No concentration.",,,heavy detritus,High
Leptolyngbya sp. cells to small to discern accurate size.,NA,NA,,NA
large,NA,NA,,NA
High counts due to taxonomist finishing up the present transect.,NA,NA,,NA
"Counts did not reach the target of 400 natural units due to low cell abundance, high detritus, and seasonality.",did not reach,BadData,high detritus,High
"Count did not reach the target of 400 natural units due to low cell abundance, high detritus, and seasonality.",did not reach,BadData,high detritus,High
"Count did not reach the target of 400 natural units due to low cell abundance, high detritus, and sesasonality.",did not reach,BadData,high detritus,High
"Counts did not reach the target of 400 natural units due to low cell abundance, high detritus and seasonality.",did not reach,BadData,high detritus,High
"Moderate sediment and detritus, many diatom fragments.",diatom fragments,Fragment,moderate sediment and detritus,Moderate
"Fragment. Moderate sediment and detritus, many diatom fragments.",diatom fragments,Fragment,moderate sediment and detritus,NA
"Moderate sediment, many diatom fragments.",diatom fragments,Fragment,,
"Fragment. Moderate sediment, diatom fragments.",fragment.,Fragment,,
Moderate sediment.,,,,
"High sediment, moderate detritus, diatom fragments.",diatom fragments,Fragment,moderate detritus,Moderate
"Light sediment and detritus, poor preservation, diatom fragments.",,,light sediment and detritus,Light
"Fragment. Light sediment and detritus, poor preservation, diatom fragments.",,,,
"High sediment, poor preservation, moderate detritus.",poor preservation,PoorlyPreserved,,
"Fragment. High sediment, poor preservation, moderate detritus.",,,,
Fragment. Moderate sediment.,,,,
"Fragment. High detritus, moderate sediment, diatom fragments.",,,,
"High detritus, moderate sediment, diatom fragments.",,,,
"Fragment. High detritus and sediment, diatom fragments.",,,,
"High detritus and sediment, diatom fragments.",,,,
"High detritus and sediment, some broken diatom fragments.",broken diatom fragments,????,,
"Fragment. Very high sediment, moderate detritus, diatom fragments.",,,,
"Very high sediment, moderate detritus, diatom fragments.",,,,
"Fragment. Light sediment and detritus, diatom fragments.",,,,
"Light sediment and detritus, diatom fragments.",,,,
Some soft algae appears degraded.,degraded,PoorlyPreserved,,
Fragment. Some soft algae appears degraded.,degraded,PoorlyPreserved,,
"High sediment, moderate detritus, many diatom fragments.",,,,
"Fragment. High sediment, moderate detritus, many diatom fragments.",,,,
Moderate sediment and detritus.,,,,
Fragment. Moderate sediment and detritus.,,,,
"Fragment. High sediment, moderate detritus, diatom fragments.",,,,
"Fragment. Low detritus, moderate sediment.",,,,
"Low detritus, moderate sediment.",,,,
Fragment. Moderate sediment and detritus; many diatom fragments.,,,,
Moderate sediment and detritus; many diatom fragments.,,,,
"Fragment. Moderate sediment, low detritus, diatom fragments.",,,,
"Moderate sediment, low detritus, diatom fragments.",,,,
"Girdle view. Moderate sediment, low detritus, diatom fragments.",,,,
Fragment. Light sediment and detritus.,,,,
Light sediment and detritus.,,,,
"Fragment. High detritus and sediment, many diatom fragments.",,,,
"High detritus and sediment, many diatom fragments.",,,,
High sediment and detritus.,,,,
Fragment. High sediment and detritus.,,,,
"Fragment. Low sediment, high detritus.",,,,
"Low sediment, high detritus.",,,,
High fine sediment.,,,,
Fragment. High fine sediment.,,,,
Moderate sediment and detritus. Many diatom fragments. Some soft algae appear degraded.,,,,
High sediment. Many diatom fragments.,,,,
Fragment. Low sediment. Few diatom fragments.,,,,
Low sediment. Few diatom fragments.,,,,
Low sediment. Some broken diatom fragments.,,,,
Fragment. Many diatom fragments.,,,,
Many diatom fragments.,,,,
Extremely high sediment and detritus. Many diatom fragments.,,,extremely high sediment and detritus,High
Fragment. Extremely high sediment and detritus. Many diatom fragments.,,,,
"Fragment. Extremely high sediment, detritus, many broken diatoms fragments.",,,,
"Extremely high sediment, detritus, many broken diatoms fragments.",,,,
Very high sediment and detritus. Many diatom fragments.,,,,
Very high detritus and debris. Many diatom fragments.,,,,
Fragment. Very high detritus and debris. Many diatom fragments.,,,,
Moderate sediment and high detritus. Many diatom fragments.,,,,
Fragment. High sediment and detritus. Many diatom fragments.,,,,
High sediment and detritus. Many diatom fragments.,,,,
High detritus and sediment. Many diatom fragments.,,,,
Low sediment. Moderate detritus.,,,,
"Low sediment, moderate detritus, diatom fragments.",,,,
"Fragment. Low sediment, moderate detritus, diatom fragments.",,,,
Fragment. High detritus. Moderate sediment. Diatom fragments.,,,,
High detritus. Moderate sediment. Diatom fragments.,,,,
"Fragment. Moderate detritus, light sediment.",,,,
"(Girdle) Moderate detritus, light sediment.",,,,
"Moderate detritus, light sediment.",,,,
High sediment. Moderate detritus. Diatom fragments.,,,,
Fragment. High sediment. Moderate detritus. Diatom fragments.,,,,
High sediment. Moderate detritus. Broken diatoms.,,,,
Fragment. Low sediment. Moderate detritus. Diatom fragments.,,,,
Low sediment. Moderate detritus. Diatom fragments.,,,,
Fragment. High detritus. Moderate sediment.,,,,
High detritus. Moderate sediment.,,,,
"Fragment. Moderate detritus, diatom fragments.",,,,
"Moderate detritus, diatom fragments.",,,,
High sediment and detritus. Diatom fragments.,,,,
"Fragment. High sediment and very high detritus, diatom fragments.",,,,
"High sediment and very high detritus, diatom fragments.",,,,
"Low sediment, moderate detritus.",,,,
"Fragment. Low sediment, moderate detritus.",,,,
High sediment and moderate detritus.,,,,
Fragment. High sediment and moderate detritus.,,,,
"High sediment, weak preservation, diatom fragments.",weak preservation,PoorlyPreserved,,
"Fragment. High sediment, weak preservation, diatom fragments.",,,,
"High sediment and detritus. Poorly preserved, live organisms observed in sample.",poorly preserved,PoorlyPreserved,,
"Disintigrated and degraded. High sediment and detritus. Poorly preserved, live organisms observed in sample.",poorly preserved,PoorlyPreserved,,
Fragment. Low sediment and detritus.,,,,
Low sediment and detritus.,,,,
"Light sediment and detritus, weak preservation.",,,,
"High sediment and detritus, diatom fragments.",,,,
"Fragment. High sediment and detritus, diatom fragments.",,,,
"Very high sediment, high detritus, diatom fragments.",,,,
"Fragment. Very high sediment, high detritus, diatom fragments.",,,,
"Moderate sediment, high detritus, diatom fragments.",,,,
"Fragment. Moderate sediment, high detritus, diatom fragments.",,,,
Light detritus and sediment. Diatom fragments.,,,,
Fragment. Light detritus and sediment. Diatom fragments.,,,,
"Fragment. High sediment, moderate detritus.",,,,
"High sediment, moderate detritus.",,,,
Fragment. High sediment.,,,,
High sediment.,,,,
Moderate detritus and sediment.,,,,
"Fragment. Heavy detritus, moderate sediment, diatom fragments.",,,,
"Heavy detritus, moderate sediment, diatom fragments.",,,,
Girdle view. Moderate sediment and detritus.,,,,
Fragment.,,,,
Moderate sediment and low detritus.,,,,
Cannot meet natural unit tally in 50 fields. Low detritus.,cannot meet natural unit tally,BadData,,
Fragment. Cannot meet natural unit tally in 50 fields. Low detritus.,,,,
"Fragment. Moderate sediment, low detritus.",,,,
"Moderate sediment, low detritus.",,,,
Low sediment and moderate detritus.,,,,
Fragment. Low sediment and moderate detritus.,,,,
Cannot meet natural unit tally in 50 fields. Low sediment and moderate detritus.,,,,
Diatoms appear degraded. Moderate sediment and low detritus.,,,,
Fragment. Moderate sediment and low detritus.,,,,
Girdle view. Moderate sediment and low detritus.,,,,
Fragment. High sediment and moderate detritus. Many fragmented diatoms.,,,,
High sediment and moderate detritus. Many fragmented diatoms.,,,,
Fragment. High sediment and detritus. Many fragmented diatoms.,,,,
High sediment and detritus. Many fragmented diatoms.,,,,
"Moderate sediment and detritus, fragmented diatoms.",,,,
High sediment and detritus. Ditylum brightwellii spines observed.,,,,
Fragment. High sediment and detritus. Ditylum brightwellii spines observed.,,,,
Moderate sediment and high detritus.,,,,
Fragment. Low sediment and detritus. Many fragmented diatoms.,,,,
Low sediment and detritus. Many fragmented diatoms.,,,,
Low sediment and moderate detritus. Many fragmented diatoms.,,,,
Fragment. Low sediment and moderate detritus. Many fragmented diatoms.,,,,
Fragment. Low sediment. Moderate detritus.,,,,
Low sediment and high detritus. Many fragmented diatoms.,,,,
Fragment. Low sediment and high detritus. Many fragmented diatoms.,,,,
Girdle view. Low sediment and moderate detritus. Many fragmented diatoms.,,,,
High sediment. Moderate detritus.,,,,
Girdle view. Low sediment and moderate detritus.,,,,
"Low sediment and detritus, many fragmented diatoms.",,,,
"Fragment. Low sediment and detritus, many fragmented diatoms.",,,,
Fragment. Moderate sediment and detritus. Many fragmented diatoms.,,,,
Moderate sediment and detritus. Many fragmented diatoms.,,,,
Girdle view. Low sediment and detritus.,,,,
Girdle view. Moderate sediment and detritus. Many fragmented diatoms.,,,,
Degraded. Moderate sediment and detritus. Many fragmented diatoms.,degraded,Degraded,,
Degraded. Low sediment and moderate detritus. Many fragmented diatoms.,,,,
Degraded. Low sediment and detritus.,,,,
Low sediment. High detritus. Many fragmented diatoms.,,,,
Fragment. Moderate sediment and detritus. Ditylum brightwellei spines observed.,,,,
Girdle view. Moderate sediment and detritus. Ditylum brightwellei spines observed.,,,,
Moderate sediment and detritus. Ditylum brightwellei spines observed.,,,,
Girdle view. High sediment and moderate detritus.,,,,
Girdle view. Low sediment and detritus. Many fragmented diatoms.,,,,
Low sediment and moderate detritus. Spines of Ditylum brightwellii observed.,,,,
Girdle view. High sediment and detritus. Many fragmented diatoms.,,,,
Fragment. Low sediment and high detritus.,,,,
Low sediment and high detritus.,,,,
Degraded. Low sediment and moderate detritus.,,,,
"Moderate sediment and detritus, many fragmented diatoms.",,,,
"Fragment. Moderate sediment and detritus, many fragmented diatoms.",,,,
"Fragment. High sediment, low detritus.",,,,
"High sediment, low detritus.",,,,
Degraded.,,,,
"Fragment. Low sediment, moderate detritus, many fragmented diatoms.",,,,
"Low sediment, moderate detritus, many fragmented diatoms.",,,,
"Girdle view. Moderate sediment, low detritus.",,,,
"Degraded. Moderate sediment, low detritus.",,,,
"Moderate sediment, light detritus.",,,,
"Obscured by debris. Moderate sediment, light detritus.",obscured,Obscured,,
"Low sediment, high detritus, many fragmented diatoms.",,,,
"Degraded. Low sediment, high detritus, many fragmented diatoms.",,,,
"Girdle view. Low sediment, high detritus, many fragmented diatoms.",,,,
Degraded. Moderate sediment and detritus.,,,,
Degraded. Low sediment and detritus. Many fragmented diatoms.,,,,
No specialized cells observed. Low sediment and moderate detritus.,no specialized cells observed,,,
No specialized cells observed.,,,,
No specialized cells observed. Low sediment and detritus.,,,,
Degraded. High sediment and moderate detritus. Many fragmented diatoms.,,,,
High sediment. Moderate detritus. Many fragmented diatoms.,,,,
Fragment. High sediment. Moderate detritus. Many fragmented diatoms.,,,,
High detritus and moderate sediment. Many fragmented diatoms.,,,,
Fragment. High detritus and moderate sediment. Many fragmented diatoms.,,,,
Girdle view.,,,,
Girdle view. Low sediment and detritus. Many broken diatoms.,,,,
Low sediment and detritus. Many broken diatoms.,,,,
Fragment. Low sediment and detritus. Many broken diatoms.,,,,
Girdle view. Moderate sediment and detritus. Many broken diatoms.,,,,
Degraded. Moderate sediment and detritus. Many broken diatoms.,,,,
Moderate sediment and detritus. Many broken diatoms.,,,,
Fragment. Moderate sediment and detritus. Many broken diatoms.,,,,
"High sediment, moderate detritus. Many broken diatoms.",,,,
"Fragment. High sediment, moderate detritus. Many broken diatoms.",,,,
"Girdle view. High sediment, low detritus. Many broken diatoms.",,,,
"Fragment. High sediment, low detritus. Many broken diatoms.",,,,
"High sediment, low detritus. Many broken diatoms.",,,,
"Degraded. High sediment, low detritus. Many broken diatoms.",,,,
"Moderate sediment, high detritus. Many broken diatoms.",,,,
"Fragment. Moderate sediment, high detritus. Many broken diatoms.",,,,
Obscured by detritus. Moderate sediment and detritus. Many broken diatoms.,,,,
"Moderate sediment, high detritus. Many broken diatoms. Ditylum brightwellii spines observed.",,,,
"Fragment. Moderate sediment, high detritus. Many broken diatoms. Ditylum brightwellii spines observed.",,,,
High sediment and detritus. Many broken diatoms.,,,,
Fragment. High sediment and detritus. Many broken diatoms.,,,,
Degraded. High sediment and detritus. Many broken diatoms.,,,,
Fragment. Low detritus.,,,,
Low detritus.,,,,
Fragment. Moderate sediment and low detritus. Many broken diatoms.,,,,
Moderate sediment and low detritus. Many broken diatoms.,,,,
Fragment. Moderate sediment and low detrtitus. Many broken diatoms.,,,,
Moderate sediment and low detrtitus. Many broken diatoms.,,,,
Fragment. High sediment and moderate detritus. Many broken diatoms.,,,,
High sediment and moderate detritus. Many broken diatoms.,,,,
Obscured by detritus. High sediment and moderate detritus. Many broken diatoms.,,,,
High sediment and low detritus.,,,,
Girdle view. High sediment and low detritus.,,,,
Fragment. High sediment and low detritus.,,,,
Degraded. High sediment and detritus.,,,,
Moderate sediment and detritus. Ciliates observed.,,,,
Fragment. Moderate sediment and detritus. Ciliates observed.,,,,
Girdle view. Moderate sediment and detritus. Ciliates observed.,,,,
Degraded. Moderate sediment and detritus. Ciliates observed.,,,,
Fragment. Low sediment and moderate detritus. Many broken diatoms. Ciliates observed.,,,,
Degraded. Low sediment and moderate detritus. Many broken diatoms. Ciliates observed.,,,,
Low sediment and moderate detritus. Many broken diatoms. Ciliates observed.,,,,
Obscured by detritus. Low sediment and moderate detritus. Many broken diatoms. Ciliates observed.,,,,
Obscured by detritus. Low sediment and moderate detritus.,,,,
Girdle view or degraded. High sediment and moderate detritus. Many broken diatoms.,,,,
Degraded. High sediment and moderate detritus. Many broken diatoms.,,,,
Obscured by detritus. Moderate sediment and low detritus.,,,,
Moderate sediment and low detritus. Ditylum brightwellii spines observed.,,,,
Fragment. Moderate sediment and low detritus. Ditylum brightwellii spines observed.,,,,
Broken. Moderate sediment and detritus. Many broken diatoms.,,,,
Degraded. High sediment and moderate detritus.,,,,
Obscured by sediment. High sediment and detritus. Many broken diatoms.,,,,
Moderate detritus.,,,,
"Low sediment and moderate detritus,",,,,
Obscured by sediment. Low sediment and moderate detritus.,,,,
Fragment. Girdle view. Moderate sediment and low detritus.,,,,
Fragment. Moderate detritus.,,,,
Obscured by detritus. High sediment and detritus.,,,,
Fragment. Moderate sediment and detritus. Many broken diatoms. Spines of Ditylum brightwellii observed.,,,,
Moderate sediment and detritus. Many broken diatoms. Spines of Ditylum brightwellii observed.,,,,
Low sediment and moderate detritus. Many broken diatoms.,,,,
Fragment. Low sediment and moderate detritus. Many broken diatoms.,,,,
Degraded. Low sediment and moderate detritus. Many broken diatoms.,,,,
