comments,key_word_qc,quality_check,key_word_detritus,debris
Obscured by detritus. Low sediment and moderate detritus. Many broken diatoms.,,,,
Girdle view. High sediment and moderate detritus. Many broken diatoms.,,,,
Moderate sediment and high detritus. Many broken diatoms.,,,,
Fragment. Moderate sediment and high detritus. Many broken diatoms.,,,,
Fragment. Moderate sediment and high detritus.,,,,
Fragment. High sediment. Many broken diatoms.,,,,
High sediment. Many broken diatoms.,,,,
Girdle view. High sediment. Many broken diatoms.,,,,
Obscured by detritus. High sediment. Many broken diatoms.,,,,
Fragment. Low sediment.,,,,
Low sediment.,,,,
Girdle view. Low sediment.,,,,
Obscured by detritus. Moderate sediment.,,,,
Obscured by detritus. High sediment.,,,,
Moderate sediment. Rhizosolenia spines observed.,,,,
Fragment. Moderate sediment. Rhizosolenia spines observed.,,,,
Obscured by detritus. Moderate sediment and detritus.,,,,
Fragment. Moderate sediment. Light broken diatoms.,broken diatom,BrokenDiatoms,,
Moderate sediment. Light broken diatoms.,,,,
Moderate sediment and detritus. Light broken diatoms.,,,,
Fragment. Moderate sediment and detritus. Light broken diatoms.,,,,
Girdle view. Moderate sediment and detritus. Light broken diatoms.,,,,
Obscured by detritus. Low sediment and detritus.,,,,
Low sediment and moderate detritus. Light broken diatoms.,,,,
Fragment. Low sediment and moderate detritus. Light broken diatoms.,,,,
Girdle view. Moderate sediment and low detritus. Light broken diatoms. Rhizosolenia spines observed.,,,,
Moderate sediment and low detritus. Light broken diatoms. Rhizosolenia spines observed.,,,,
Degraded. Low sediment and detritus. Many broken diatoms.,,,,
Obscured by detritus. Low sediment and detritus. Many broken diatoms.,,,,
Fragment. Many broken diatoms.,,,,
Many broken diatoms.,,,,
Degraded. Low sediment. Many broken diatoms.,,,,
Low sediment. Many broken diatoms.,,,,
Moderate sediment. Many broken diatoms.,,,,
Fragment. Low detritus. Many broken diatoms.,,,,
Girdle view. Low detritus. Many broken diatoms.,,,,
Low detritus. Many broken diatoms.,,,,
Fragment. Low sediment and low detritus. Many broken diatoms.,,,,
Low sediment and low detritus. Many broken diatoms.,,,,
Moderate sediment and detritus. Many broken diatoms. Ditylum brightwellii spines observed.,,,,
Degraded. Moderate sediment and detritus. Many broken diatoms. Ditylum brightwellii spines observed.,,,,
Fragment. Moderate sediment. Many broken diatoms.,,,,
Fragment. Moderate sediment and detritus. Many broken diatoms. Sample poorly preserved.,,,,
Girdle view. Moderate sediment and detritus. Many broken diatoms. Sample poorly preserved.,,,,
Moderate sediment and detritus. Many broken diatoms. Sample poorly preserved.,,,,
Broken. High sediment and detritus.,,,,
Obscured by detritus.,,,,
Obscured by detritus. Low sediment.,,,,
Girdle view. Moderate sediment.,,,,
FKA Anabaena sp. Moderate sediment and detritus.,,,,
Obscured by sediment. High sediment.,,,,
Girdle view. High sediment.,,,,
High sediment and detritus. Sample contains mucilaginous detritus.,,,,
Degraded.Moderate sediment and detritus.,,,,
Low sediment and moderate detritus. Sample contains mucilaginous detritus.,,,,
Obscured by detritus. Many broken diatoms.,,,,
Obscured by detritus.Low sediment and detritus.,,,,
Obscured by detritus. Moderate sediment and low detritus. Many broken diatoms.,,,,
Obscured by detritus. High sediment and moderate detritus.,,,,
Girdle. Moderate sediment and low detritus. Many broken diatoms.,,,,
Girdle view. Low sediment and detritus. Sample contains mucilaginous detritus.,,,,
Low sediment and detritus. Sample contains mucilaginous detritus.,,,,
Moderate sediment and low detritus. Sample contains mucilaginous detritus.,,,,
Obscured by detritus. Moderate sediment and low detritus. Sample contains mucilaginous detritus.,,,,
Sample contains mucilaginous detritus.,,,,
Fragment. Low sediment and moderate detritus. Sample contains mucilaginous detritus.,,,,
High sediment and moderate detritus. Sample contains mucilaginous detritus.,,,,
Obscured by detritus. High sediment and moderate detritus. Sample contains mucilaginous detritus.,,,,
Fragment. High sediment and moderate detritus. Sample contains mucilaginous detritus.,,,,
Moderate sediment and detritus. Sample contains mucilaginous detritus.,,,,
Obscured by detritus. Moderate sediment and detritus. Sample contains mucilaginous detritus.,,,,
fragment,,,,
"high sediment, moderate detritus. Many broken diatoms",,,,
"Girdle view. high sediment, moderate detritus. Many broken diatoms",,,,
"fragment; high sediment, moderate detritus Many broken diatoms",,,,
low detritus,,,,
"fragment; Sample contains mucilaginous detritus, many broken diatoms",,,,
"Sample contains mucilaginous detritus, many broken diatoms",,,,
fragment; Moderate sediment,,,,
Moderate sediment,,,,
Moderate sediment and detritus; Sample contains mucilaginous detritus,sample contains,,,
Girdle view. Moderate sediment and detritus; Sample contains mucilaginous detritus,,,,
Obscured by detritus; Low sediment and detritus,,,,
Low sediment and detritus,,,,
"Girdle view. Low sediment, moderate detritus",,,,
"Low sediment, moderate detritus",,,,
"Fragment. Low sediment, moderate detritus",,,,
"fragment; high sediment, moderate detritus",,,,
"high sediment, moderate detritus",,,,
"Moderate sediment, low detritus",,,,
"degraded; Moderate sediment, low detritus",,,,
Low sediment and detritus; Sample contains mucilaginous detritus,,,,
Obscured by detritus. Low sediment and detritus; Sample contains mucilaginous detritus,,,,
Moderate sediment and detritus,,,,
degraded; Moderate sediment and detritus,,,,
obscured by detritus; Moderate sediment and detritus,,,,
Girdle view. Moderate sediment and detritus,,,,
Obscured by detritus. Moderate sediment and detritus,,,,
Low detrtius. Sample contains mucilaginous detritus.,,,,
Girdle view. Low detrtius. Sample contains mucilaginous detritus.,,,,
Girdle view. Low detritus.,,,,
Fragment. Low sediment and detritus. Sample contains mucilaginous detritus.,,,,
Low detritus. Sample contains mucilaginous detritus.,,,,
Girdle view. High sediment and detritus. Sample contains mucilaginous detritus.,,,,
Fragment. High sediment and detritus. Sample contains mucilaginous detritus.,,,,
Girdle view. High sediment and moderate detritus. Sample contains mucilaginous detritus. Ditylum spines observed.,observed,,,
High sediment and moderate detritus. Sample contains mucilaginous detritus. Ditylum spines observed.,,,,
Obscured by detritus. Moderate detritus.,,,,
Fragment. High sediment. Medium detitus.,,,,
Girdle view. High sediment. Medium detritus.,,,,
High sediment. Medium detritus.,,,,
Obscured by detritus. High sediment. Moderate detritus.,,,,
Moderate sediment. Low detritus.,,,,
Low sediment. Low detritus.,,,,
Medium sediment. Low detritus.,,,,
Obscured by detritus. High sediment. Medium detritus.,,,,
Fragment. Medium sediment. Low detritus.,,,,
Moderate sediment. Low detritus,,,,
Fragment. Moderate sediment. Low detritus,,,,
Girdle view. Moderate sediment. Low detritus.,,,,
Fragment. Moderate sediment. Low detritus.,,,,
Obscured by detritus. Moderate sediment. Low detritus.,,,,
Medium sediment. Low detritus. Sample contains mucilaginous detritus.,,,,
Moderate sediment. Low detritus. Sample contains mucilaginous detritus.,sample contains,,,
High sediment. Moderate detritus. Sample contains mucilaginous detritus.,,,,
Obscured by detritus. High sediment. Moderate detritus. Sample contains mucilaginous detritus.,,,,
Girdle view. High sediment. Moderate detritus.,,,,
Low sediment. Low detritus. Broken diatoms present.,,,,
High sediment. High detritus.,,,,
Fragment. High sediment. High detritus.,,,,
Moderate sediment. Low detritus. Ciliates observed.,,,,
High sediment. Moderate detritus. Broken diatoms present.,,,,
Obscured by detritus. High sediment. Moderate detritus. Broken diatoms present.,,,,
Moderate sediment. Moderate detritus. Broken diatoms present.,,,,
Moderate sediment. Low detritus. Broken diatoms present.,,,,
Low sediment. Low detritus. Sample contains mucilaginous detritus.,,,,
Obscured by detritus. Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,present,,,
Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,,,,
Obscured by detritus. Low sediment. Low detritus.,,,,
Girdle view. Low sediment. Low detritus.,,,,
Girdle view. High sediment. Moderate detritus. Sample contains mucilagenous detritus.,,,,
High sediment. Moderate detritus. Sample contains mucilagenous detritus.,,,,
Low detritus. Sample contains mucilagenous detritus. Broken diatoms present.,,,,
Fragment. Moderate sediment. Low detritus. Broken diatoms present.,,,,
Moderate sediment. Low detritus. Sample contains mucilagenous detritus. Ciliates present.,,,,
Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus.,,,,
Fragment. Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus.,,,,
Low sediment and detritus. Broken diatoms observed.,,,,
Obscured by detritus. High sediment and low detritus.,,,,
Obscured by detritus. Low detritus.,,,,
Obscured by detritus. High sediment and moderate detritus. Broken diatoms observed.,,,,
High sediment and moderate detritus. Broken diatoms observed.,,,,
Low sediment and moderate detritus. Sample contains mucilaginous detritus. Broken diatoms observed.,,,,
Girdle view. Low sediment and moderate detritus. Sample contains mucilaginous detritus. Broken diatoms observed.,,,,
Fragment. Low sediment and moderate detritus. Sample contains mucilaginous detritus. Broken diatoms observed.,,,,
Obscured by detritus. Low sediment and moderate detritus. Sample contains mucilaginous detritus. Broken diatoms observed.,,,,
Obscured by detritus. Low sediment and moderate detritus. Sample contains mucilaginous detritus.,,,,
Obscured by detritus. Low sediment and detritus. Sample contains mucilaginous detritus.,,,,
Fragment. Low sediment and moderate detritus. Broken diatoms observed.,,,,
Low sediment and moderate detritus. Broken diatoms observed.,,,,
Obscured by detritus. Low sediment and moderate detritus. Broken diatoms observed.,,,,
Girdle view. Low sediment and high detritus. Sample contains mucilaginous detritus. Broken diatoms observed.,,,,
Fragment. Low sediment and high detritus. Sample contains mucilaginous detritus. Broken diatoms observed.,,,,
Low sediment and high detritus. Sample contains mucilaginous detritus. Broken diatoms observed.,,,,
Obscured by detritus. Low sediment and high detritus. Sample contains mucilaginous detritus. Broken diatoms observed.,,,,
Fragment. Moderate sediment and low detritus. Broken diatoms observed.,,,,
Girdle view. Moderate sediment and low detritus. Broken diatoms observed.,,,,
Moderate sediment and low detritus. Broken diatoms observed.,,,,
Obscured by detritus. High sediment and low detritus. Sample contains mucilaginous detritus.,,,,
High sediment and low detritus. Sample contains mucilaginous detritus.,,,,
Low sediment and moderate detritus. Broken diatoms observed. Ciliates observed.,,,,
Obscured by detritus. Low detritus. Sample contains mucilaginous detritus.,,,,
Degraded. High sediment and detritus. Sample contains mucilaginous detritus.,,,,
Fragment. Moderate sediment and detritus. Sample contains mucilaginous detritus.,,,,
Obscured by detritus. Moderate sediment and low detritus. Sample contains mucilaginous detritus. Many broken diatoms.,,,,
Moderate sediment and low detritus. Sample contains mucilaginous detritus. Many broken diatoms.,,,,
Degraded. Low sediment and detritus. Sample contains mucilaginous detritus.,,,,
Fragment. Moderate sediment and low detritus. Sample contains mucilaginous detritus.,,,,
Fragment. Moderate and low detritus. Many broken diatoms.,,,,
Moderate and low detritus. Many broken diatoms.,,,,
Obscured by detritus. Moderate and low detritus. Many broken diatoms.,,,,
Fragment. Low detritus. Sample contains mucilaginous detritus.,,,,
Moderate detritus. Sample contains mucilaginous detritus.,,,,
Fragment. Low sediment. Many broken diatoms.,,,,
Girdle view. Moderate sediment and low detritus. Many broken diatoms.,,,,
Obscured by detritus. Moderate sediment and low detritus. Broken diatoms observed.,,,,
High sediment and moderate sediment.,,,,
Fragment. Low sediment and detritus. Broken diatoms observed.,,,,
Moderate sediment and low detritus. Ciliates observed.,,,,
Girdle view. Moderate sediment and low detritus. Ciliates observed.,,,,
Fragment. Low sediment and detritus. Ciliates observed.,,,,
Low sediment and detritus. Ciliates observed.,,,,
Ciliates observed.,,,,
Fragment. Low sediment. Ciliates observed.,,,,
Low sediment. Ciliates observed.,,,,
Moderate sediment and detritus. Broken diatoms observed. Ciliates observed.,,,,
Moderate sediment and low detritus. Broken diatoms observed. Ciliates observed.,,,,
Fragment. Moderate sediment and low detritus. Broken diatoms observed. Ciliates observed.,,,,
Fragment. Ditylum spines observed. Moderate sediment and detritus. Ciliates observed.,,,,
Ditylum spines observed. Moderate sediment and detritus. Ciliates observed.,,,,
High sediment and detritus. Ciliates observed.,,,,
Moderate sediment and high detritus. Ciliates observed.,,,,
High sediment and detritus. Many broken diatoms. Ciliates observed.,,,,
Low sediment and high detritus. Ciliates observed.,,,,
Low sediment and detritus. Many broken diatoms. Ciliates observed.,,,,
High sediment and moderate detritus. Ciliates observed.,,,,
Moderate sediment and detritus. Many broken diatoms. Ciliates observed.,,,,
High detritus.,,,,
Large clumps of sediment/detritus. Moderate sediment and detritus.,,,,
High detritus.Cannot meet tally in 50 fields.,,,,
"Full Chamber Scan. Only 1mL present in bottle, seemed to be only stain. 1 diatom suspected to be cross contamination.",cross contamination,BadData,,
Cannot meet tally in 50 fields.,cannot meet tally,TalleyNotMet,,
High detritus or possible bacteria.,,,,
High amounts of debris.,,,,
Fragment. High amounts of debris.,,,,
Lots of debris.,,,,
High debris.,,,,
Moderate debris.,,,,
High amount of debris.,,,,
Fragment. High amount of debris.,,,,
High sedimnet.,,,,
Cannot meet tally in 50 fields. High sediment.,,,,
High sediment. Fragment.,,,,
High sediment and debris.,,,,
Low sediment and medium detritus. Many broken diatoms.,,,,
Moderate sediment and moderate detritus. Many broken diatoms.,,,,
Fragment. Girdle view. High sediment and detritus. Many broken diatoms.,,,,
High sedimend and detritus. Many broken diatoms.,,,,
High sediment and moderate detritus. Low broken diatoms.,,,,
Poorly preserved. Moderate sediment and low detritus.,,,,
Poorly preserved. Low sediment and detritus.,,,,
Poorly preserved. Low sediment and moderate detritus.,,,,
Low sediment. Girdle view.,,,,
Moderate detritus. Many broken diatoms.,,,,
Cannot meet tally in 50 fields. Low detritus.,,,,
,,,,
High sediment and detritus. Many broken diatoms. Cannot meet tally in 50 fields.,cannot meet tally,TallyNotMet,,
Cannot meet tally in 50 fields. High sediment and detritus. Many broken diatoms.,,,,
Cannot meet tally in 50 fields.,,,,
High sediment and moderate detritus. Many broken diatoms.,,,,
High sediment and detritus. Many broken diatoms.,,,,
Moderate sediment and high detitus. Many broken diatoms.,,,,
Moderate sediment and high detritus. Many broken diatoms.,,,,
Low sediment. Many broken diatoms.,,,,
Low sediment and detritus. Many broken diatoms.,,,,
Moderate sediment and detritus. Many broken diatoms.,,,,
Low sediment and moderate detritus. Many broken diatoms.,,,,
Many broken diatoms.,,,,
Many broken diatoms. Girdle view.,,,,
Moderate detritus. Fragment.,,,,
High sediment.,,,,
Low sediment and high detritus.,,,,
High sediment and low detritus.,,,,
High sediment and moderate detritus.,,,,
Low sediment and low detritus.,,,,
Low sediment and detritus.,,,,
Low detritus.,,,,
Low sediment.,,,,
Moderate sediment and detritus.,,,,
Moderate sediment and low detritus.,,,,
Low sediment and moderate detritus.,,,,
Moderate detritus.,,,,
Girdle view.,,,,
High fungus abundance.,fungus,PoorlyPreserved,,
High levels of fungus.,fungus,PoorlyPreserved,,
