MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,1/11/2022,11:50,E0122B0145,D10,3,61,2,3.28%,0.0683,314.159,1.1611,17,135.29,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,9.3,,,i,BSA.01-16,CB,High sediment.,prism on parallelogram,32.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/11/2022,11:50,E0122B0145,D10,3,61,2,3.28%,0.0683,314.159,1.1611,17,135.29,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.01-16,CB,High sediment.,cone + half sphere,344.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/11/2022,11:50,E0122B0145,D10,3,61,2,3.28%,0.0683,314.159,1.1611,17,135.29,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,398,796,0.8,0.8,0.8,c,BSA.01-16,CB,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/11/2022,12:50,E0122B0110,EZ2,3,64,3,4.69%,0.0683,314.159,0.8879,13,117.94,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,15,,,i,BSA.01-17,AB,Moderate sediment and detritus.,prism on parallelogram,22.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/11/2022,12:50,E0122B0110,EZ2,3,64,3,4.69%,0.0683,314.159,0.8879,13,117.94,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,416,832,0.8,0.8,0.8,c,BSA.01-17,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/11/2022,12:50,E0122B0110,EZ2,3,64,3,4.69%,0.0683,314.159,0.8879,13,117.94,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,16,3,,,f,BSA.01-17,AB,Moderate sediment and detritus.,cylinder,2.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/11/2022,11:50,E0122B0109,EZ6,3,61,3,4.92%,0.0683,314.159,0.7513,11,139.38,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,6,6,27.8,,,i,BSA.01-18,AB,Moderate sediment and detritus.,cylinder,252.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/11/2022,11:50,E0122B0109,EZ6,3,61,3,4.92%,0.0683,314.159,0.7513,11,139.38,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,2,2,24.1,,,i,BSA.01-18,AB,Moderate sediment and detritus.,prism on parallelogram,55.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/11/2022,11:50,E0122B0109,EZ6,3,61,3,4.92%,0.0683,314.159,0.7513,11,139.38,846,Planothidium sp.,Diatom,Planothidium,sp.,,1,1,15,,,i,BSA.01-18,AB,Moderate sediment and detritus.,elliptic prism,75.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/11/2022,11:50,E0122B0109,EZ6,3,61,3,4.92%,0.0683,314.159,0.7513,11,139.38,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,19,,,i,BSA.01-18,AB,Moderate sediment and detritus.,prolate spheroid,16.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/11/2022,11:50,E0122B0109,EZ6,3,61,3,4.92%,0.0683,314.159,0.7513,11,139.38,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,437,874,0.8,0.8,0.8,c,BSA.01-18,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/13/2022,9:10,E0122B0233,D41A,3,59,7,11.86%,0.0683,314.159,1.0928,16,41.07,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7,,,i,BSA.01-19,AB,Moderate sediment and detritus.,cylinder,192.42,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,9:10,E0122B0233,D41A,3,59,7,11.86%,0.0683,314.159,1.0928,16,41.07,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,24.1,,,i,BSA.01-19,AB,Moderate sediment and detritus.,elliptic prism,340.71,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,9:10,E0122B0233,D41A,3,59,7,11.86%,0.0683,314.159,1.0928,16,41.07,923,Staurosira cf. venter,Diatom,Staurosira,venter,,1,1,8,,,i,BSA.01-19,AB,Moderate sediment and detritus.,elliptic prism,37.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,9:10,E0122B0233,D41A,3,59,7,11.86%,0.0683,314.159,1.0928,16,41.07,1806,Chrysochromulina sp.,Soft Body,Chrysochromulina,sp.,,1,1,3.7,,,i,BSA.01-19,AB,Moderate sediment and detritus.,prolate spheroid,23.73,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,9:10,E0122B0233,D41A,3,59,7,11.86%,0.0683,314.159,1.0928,16,41.07,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,2,2,5.6,,,i,BSA.01-19,AB,Moderate sediment and detritus.,cone + half sphere,91.95,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,9:10,E0122B0233,D41A,3,59,7,11.86%,0.0683,314.159,1.0928,16,41.07,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,13,,,i,BSA.01-19,AB,Moderate sediment and detritus.,cone + half sphere,648.19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,9:10,E0122B0233,D41A,3,59,7,11.86%,0.0683,314.159,1.0928,16,41.07,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,3,3,5.6,,,i,BSA.01-19,AB,Moderate sediment and detritus.,cone + half sphere,76.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,9:10,E0122B0233,D41A,3,59,7,11.86%,0.0683,314.159,1.0928,16,41.07,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,398,796,0.8,0.8,0.8,c,BSA.01-19,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/12/2022,9:45,E0122B0185,D7,3,61,2,3.28%,0.0683,314.159,0.8196,12,191.65,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,8,,,i,BSA.01-20,AB,Moderate sediment and high detritus.,cylinder,251.33,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/12/2022,9:45,E0122B0185,D7,3,61,2,3.28%,0.0683,314.159,0.8196,12,191.65,1733,Plagioselmis cf. prolonga,Soft Body,Plagioselmis,prolonga,,2,2,5.6,,,i,BSA.01-20,AB,Moderate sediment and high detritus.,cone + half sphere,76.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/12/2022,9:45,E0122B0185,D7,3,61,2,3.28%,0.0683,314.159,0.8196,12,191.65,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,410,820,0.8,0.8,0.8,c,BSA.01-20,AB,Moderate sediment and high detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/10/2022,11:15,E0122B0078,D22,3,61,7,11.48%,0.0683,314.159,1.0245,15,43.81,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,3,3,11.1,,,i,BSA.01-21,CB,,elliptic prism,57.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,11:15,E0122B0078,D22,3,61,7,11.48%,0.0683,314.159,1.0245,15,43.81,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,2,2,25.9,,,i,BSA.01-21,CB,,cylinder,1113.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,11:15,E0122B0078,D22,3,61,7,11.48%,0.0683,314.159,1.0245,15,43.81,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,,,i,BSA.01-21,CB,,elliptic prism,611.72,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,11:15,E0122B0078,D22,3,61,7,11.48%,0.0683,314.159,1.0245,15,43.81,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,13,,,i,BSA.01-21,CB,,cylinder,312.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,11:15,E0122B0078,D22,3,61,7,11.48%,0.0683,314.159,1.0245,15,43.81,538,Melosira sp.,Diatom,Melosira,sp.,,1,1,24.1,,,i,BSA.01-21,CB,,cylinder,4146.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,11:15,E0122B0078,D22,3,61,7,11.48%,0.0683,314.159,1.0245,15,43.81,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,7,7,68.5,,,i,BSA.01-21,CB,,prism on parallelogram,108.95,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,11:15,E0122B0078,D22,3,61,7,11.48%,0.0683,314.159,1.0245,15,43.81,1345,Cryptomonas cf. curvata,Soft Body,Cryptomonas,curvata,,1,1,22.2,,,i,BSA.01-21,CB,,prolate spheroid,1005.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,11:15,E0122B0078,D22,3,61,7,11.48%,0.0683,314.159,1.0245,15,43.81,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,,,i,BSA.01-21,CB,,cone + half sphere,179.66,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,11:15,E0122B0078,D22,3,61,7,11.48%,0.0683,314.159,1.0245,15,43.81,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,392,784,0.8,0.8,0.8,c,BSA.01-21,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/13/2022,11:35,E0122B0235,NZ325,3,60,3,5.00%,0.0683,314.159,1.0928,16,95.83,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,7.5,,,i,BSA.01-22,AB,,cylinder,159.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,11:35,E0122B0235,NZ325,3,60,3,5.00%,0.0683,314.159,1.0928,16,95.83,310,Encyonema sp.,Diatom,Encyonema,sp.,,1,1,33.3,,,i,BSA.01-22,AB,,cymbelloid,186.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,11:35,E0122B0235,NZ325,3,60,3,5.00%,0.0683,314.159,1.0928,16,95.83,1077,cf. Crucigenia sp.,Soft Body,Crucigenia,sp.,,1,1,9.3,,,i,BSA.01-22,AB,,cube,86.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,11:35,E0122B0235,NZ325,3,60,3,5.00%,0.0683,314.159,1.0928,16,95.83,1733,Plagioselmis cf. prolonga,Soft Body,Plagioselmis,prolonga,,2,2,5,,,i,BSA.01-22,AB,,cone + half sphere,52.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,11:35,E0122B0235,NZ325,3,60,3,5.00%,0.0683,314.159,1.0928,16,95.83,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,401,802,0.8,0.8,0.8,c,BSA.01-22,AB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/13/2022,12:13,E0122B0237,NZ004,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,8,8,18.5,,,i,BSA.01-23,CB,,cylinder,441.73,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,12:13,E0122B0237,NZ004,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,2,2,14.8,,,i,BSA.01-23,CB,,cylinder,1062.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,12:13,E0122B0237,NZ004,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,18.5,,,i,BSA.01-23,CB,,prolate spheroid,530.44,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,12:13,E0122B0237,NZ004,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,6,6,9.3,,,i,BSA.01-23,CB,,cone + half sphere,180.64,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,12:13,E0122B0237,NZ004,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,385,770,0.8,0.8,0.8,c,BSA.01-23,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/13/2022,11:55,E0122B0236,NZ002,3,62,2,3.23%,0.0683,314.159,1.7758,26,88.46,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,8,,,i,BSA.01-24,AB,Low detritus.,cylinder,201.06,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,11:55,E0122B0236,NZ002,3,62,2,3.23%,0.0683,314.159,1.7758,26,88.46,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,6,6,16.8,,,i,BSA.01-24,AB,Low detritus.,cone + half sphere,874.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,11:55,E0122B0236,NZ002,3,62,2,3.23%,0.0683,314.159,1.7758,26,88.46,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,397,794,0.8,0.8,0.8,c,BSA.01-24,AB,Low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/13/2022,15:45,E0122B0234,D41,3,63,4,6.35%,0.0683,314.159,1.2977,19,60.52,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,9.3,,,i,BSA.01-25,CB,,cylinder,159.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,15:45,E0122B0234,D41,3,63,4,6.35%,0.0683,314.159,1.2977,19,60.52,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,3,3,18.5,,,i,BSA.01-25,CB,,prolate spheroid,424.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,15:45,E0122B0234,D41,3,63,4,6.35%,0.0683,314.159,1.2977,19,60.52,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.01-25,CB,,cone + half sphere,294.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/13/2022,15:45,E0122B0234,D41,3,63,4,6.35%,0.0683,314.159,1.2977,19,60.52,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,392,784,0.8,0.8,0.8,c,BSA.01-25,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/12/2022,12:00,E0122B0187,NZ032,3,61,2,3.28%,0.0683,314.159,0.683,10,229.98,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7,,,i,BSA.01-26,AB,High sediment and detritus.,cylinder,153.94,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/12/2022,12:00,E0122B0187,NZ032,3,61,2,3.28%,0.0683,314.159,0.683,10,229.98,1732,Entomoneis paludosa,Diatom,Entomoneis,paludosa,,1,1,44.4,,,i,BSA.01-26,AB,High sediment and detritus.,elliptic prism,1883.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/12/2022,12:00,E0122B0187,NZ032,3,61,2,3.28%,0.0683,314.159,0.683,10,229.98,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,423,846,0.8,0.8,0.8,c,BSA.01-26,AB,High sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
